party_id,project_id,party,inventory_year,submission_year,btr_cycle,sector,subsector,activity_title,activity_desc,support_type,tech_type,exp_timeframe,exp_impact,additional_info
201,6101,Uruguay,2021,2024,BTR 1,Energy,Wind,Wind Power Technology,Technology for blade manufacturing and maintenance.,Mitigation,Advanced turbine tech,2025-2028,Reduce reliance on imports.,Null
202,6102,Mauritius,2021,2024,BTR 1,Coastal,Coastal Management,Climate-Resilient Infrastructure Design,Design technology for resilient coastal infrastructure.,Adaptation,Engineering tech,2024-2026,Protect against sea-level rise.,Null
203,6103,Argentina,2021,2024,BTR 1,Agriculture,Soil Health,Soil Carbon Monitoring Tech,Sensors and software for soil carbon monitoring.,Cross-cutting,Monitoring tech,2025-2027,Improve agricultural sustainability.,Null
204,6104,Pakistan,2021,2024,BTR 1,Water,Flood Early Warning,Satellite-Based Flood Forecasting System,Satellite data and modeling for flood prediction.,Adaptation,Digital tech,2024-2026,Minimize disaster impact.,Null
205,6105,Brazil,2021,2024,BTR 1,Forestry,Forest Monitoring,Deforestation Monitoring,Satellite imagery and AI for real-time deforestation detection.,Mitigation,Digital tech,2025-2028,Enhance forest conservation efforts.,Null
206,6106,Nigeria,2021,2024,BTR 1,Energy,Solar,Solar Panel Production Tech,Technology and know-how for local solar panel production.,Mitigation,Manufacturing tech,2026-2030,Reduce import costs and build local industry.,Null
207,6107,Colombia,2021,2024,BTR 1,Transport,E-mobility,Electric Bus Charging Tech,High-speed charging infrastructure technology.,Mitigation,Infrastructure tech,2024-2026,Support electric bus fleet expansion.,Null
208,6108,Vietnam,2021,2024,BTR 1,Coastal,Mangrove Restoration,Drone-Based Seeding Tech,Drones and technology for large-scale mangrove seeding.,Adaptation,Drone tech,2025-2027,Accelerate coastal restoration.,Null
209,6109,Mexico,2021,2024,BTR 1,Waste,Waste-to-Energy,Waste Management Technology,"Tech for sorting, processing, and converting waste to energy.",Mitigation,Processing tech,2026-2029,Improve urban waste management.,Null
210,6110,Indonesia,2021,2024,BTR 1,Energy,Geothermal,Geothermal Drill-and-Explore Tech,Advanced drilling technology for geothermal exploration.,Mitigation,Exploration tech,2025-2028,Access new geothermal reserves.,Null
211,6111,Peru,2021,2024,BTR 1,Forestry,Forest Monitoring,Remote Sensing for Forest,Remote sensing and GIS technology for forest monitoring.,Mitigation,Digital tech,2024-2026,Improve national forest inventory.,Null
212,6112,Chile,2022,2025,BTR 1,Transport,E-mobility,EV Charging Infrastructure,Design and deployment of fast-charging network.,Mitigation,Infrastructure tech,2025-2027,Promote widespread EV adoption.,Null
213,6113,Ethiopia,2022,2025,BTR 1,Agriculture,Irrigation,Water-Efficient Irrigation,Drip irrigation and smart irrigation systems.,Adaptation,Water tech,2024-2026,Enhance crop productivity in dry regions.,Null
214,6114,Kenya,2022,2025,BTR 1,Energy,Geothermal,Geothermal Energy Tech,Advanced technology for geothermal plant operations.,Mitigation,Operations tech,2025-2028,Increase efficiency of existing plants.,Null
