party_id,project_id,party,reporting_year,submission_year,btr_cycle,sector,subsector,activity_title,activity_desc,currency,estimated_amount,exp_timeframe,exp_fin_instr,support_type,is_tech_transfer,is_capacity_building,aligned_nat_strategy,exp_impact,additional_info
201,6001,Uruguay,2021,2024,BTR 1,Energy,Solar power,Large-Scale Solar Plant,Development of a 100 MW utility-scale solar plant.,USD,"120,000,000",2025-2029,Loan,Mitigation,Yes,Yes,Yes,"Grid diversification, carbon reduction.",Partnership with private sector sought.
202,6002,Mauritius,2021,2024,BTR 1,Coastal,Coastal Erosion Study,Technical support for coastal erosion vulnerability assessment.,EUR,"500,000",2024-2025,Grant,Adaptation,Yes,Yes,Yes,Inform national adaptation plan.,Null,
203,6003,Argentina,2021,2024,BTR 1,Agriculture,Livestock,Methane Reduction in Livestock,Support for adopting new feeding practices for methane reduction.,USD,"2,000,000",2025-2027,Grant,Mitigation,Yes,Yes,Yes,Reduce agricultural emissions.,Null
204,6004,Pakistan,2021,2024,BTR 1,Water,Flood Management,Flood Early Warning System,Installation of a national-level flood early warning system.,USD,"15,000,000",2026-2029,Loan,Adaptation,Yes,Yes,Yes,Minimize loss of life and property.,Null
205,6005,Brazil,2021,2024,BTR 1,Forestry,Reforestation,Amazon Forest Restoration,"Reforestation of 10,000 hectares of deforested land.",EUR,"25,000,000",2025-2030,Grant,Mitigation,Yes,Yes,Yes,Carbon sequestration and biodiversity protection.,Null
206,6006,Nigeria,2021,2024,BTR 1,Energy,Off-grid Solutions,Rural Solar Electrification,Installation of solar mini-grids in remote communities.,USD,"5,000,000",2024-2026,Grant,Mitigation,Yes,Yes,Yes,Access to clean energy.,Null
207,6007,Colombia,2021,2024,BTR 1,Transport,Public Transit,Bogotá Electric Bus Fleet,Purchase of 50 new electric buses for public transport.,USD,"20,000,000",2024-2025,Loan,Mitigation,Yes,No,Yes,Reduce urban emissions.,Null
208,6008,Vietnam,2021,2024,BTR 1,Coastal,Mangrove Restoration,Coastal Mangrove Restoration,Restoring mangrove forests to protect against storm surges.,USD,"7,000,000",2025-2028,Grant,Adaptation,No,Yes,Yes,Coastal resilience and biodiversity.,Null
209,6009,Mexico,2021,2024,BTR 1,Waste,Waste-to-Energy,Municipal Waste-to-Energy Plant,Feasibility study for a new waste-to-energy plant.,EUR,"1,000,000",2024-2025,Grant,Mitigation,Yes,Yes,Yes,Reduce methane emissions from landfills.,Null
210,6010,Indonesia,2021,2024,BTR 1,Energy,Geothermal,Geothermal Energy Exploration,Funding for exploratory drilling for geothermal resources.,USD,"30,000,000",2026-2029,Loan,Mitigation,Yes,No,Yes,Expand renewable energy mix.,Null
211,6011,Peru,2021,2024,BTR 1,Forestry,Forest Management,Andes Forest Management,Capacity building for sustainable forest management in the Andes.,USD,"1,500,000",2025-2026,Grant,Mitigation,Yes,Yes,Yes,Preserve forest ecosystems.,Null
212,6012,Chile,2022,2025,BTR 1,Transport,E-mobility,National E-mobility Infrastructure,Support for rolling out a national EV charging network.,USD,"8,000,000",2025-2027,Loan,Mitigation,Yes,Yes,Yes,Facilitate the transition to electric vehicles.,Null
213,6013,Ethiopia,2022,2025,BTR 1,Agriculture,Irrigation,Climate-Resilient Irrigation,Funding for water-efficient irrigation technology.,EUR,"3,000,000",2024-2026,Grant,Adaptation,Yes,Yes,Yes,Improve food security.,Null
214,6014,Kenya,2022,2025,BTR 1,Energy,Geothermal,Geothermal Power Plant,Funding to expand an existing geothermal power plant.,USD,"50,000,000",2025-2028,Loan,Mitigation,Yes,Yes,Yes,Increase clean energy generation.,Null
215,6015,Ghana,2022,2025,BTR 1,Waste,Recycling,Integrated Waste Management,Support for developing an integrated waste management system.,USD,"10,000,000",2026-2029,Loan,Mitigation,Yes,Yes,Yes,Reduce waste and methane emissions.,Null
216,6016,South Africa,2022,2025,BTR 1,Energy,Coal phase-out,Just Energy Transition Fund,Support for a fund to manage the transition from coal.,USD,"100,000,000",2025-2030,Loan,Mitigation,Yes,Yes,Yes,Socially just transition.,Part of a larger international effort.
217,6017,Bangladesh,2022,2025,BTR 1,Water,Flood Resilience,Flood Protection Barriers,Construction of flood protection infrastructure.,EUR,"20,000,000",2025-2028,Grant,Adaptation,No,Yes,Yes,Protect communities from flooding.,Null
218,6018,Thailand,2022,2025,BTR 1,Energy,Wind,Offshore Wind Farm,Feasibility study for a new offshore wind farm.,USD,"2,000,000",2024-2025,Grant,Mitigation,Yes,Yes,Yes,Diversify energy mix.,Null
219,6019,Philippines,2022,2025,BTR 1,Coastal,Disaster Risk,Coastal Disaster Resilience,Capacity building on disaster risk reduction in coastal areas.,USD,"500,000",2024-2026,Grant,Adaptation,No,Yes,Yes,Enhance community preparedness.,Null
220,6020,Ethiopia,2022,2025,BTR 1,Agriculture,Climate-Smart Farming,Climate-Smart Agriculture Programme,Rollout of climate-smart farming techniques across the country.,USD,"5,000,000",2025-2028,Grant,Adaptation,Yes,Yes,Yes,Improve food security and reduce vulnerability.,Null
221,6021,Senegal,2022,2025,BTR 1,Energy,Mini-grids,Rural Electrification Project,Installation of decentralized solar mini-grids.,EUR,"3,000,000",2025-2027,Grant,Mitigation,Yes,Yes,Yes,Increase energy access.,Null
