party_id,project_id,party,inventory_year,submission_year,btr_cycle,title_of_activity,time_frame,recipient_entity,implementing_entity,type_of_support,sector,subsector,activity_status,impact_and_results,additional_information
201,6201,Uruguay,2022,2025,BTR 1,Policy and Regulation for Solar,2025-2026,Ministry of Energy,Germany (via GIZ),Mitigation,Energy,Solar,Ongoing,Enhanced policy and regulatory framework.,Null
202,6202,Mauritius,2022,2025,BTR 1,Coastal Resilience Planning,2024-2025,Ministry of Environment,Japan (via JICA),Adaptation,Coastal,Coastal Management,Ongoing,Climate resilience is now being mainstreamed.,Null
203,6203,Argentina,2022,2025,BTR 1,Climate-Smart Agriculture Training,2025-2027,Ministry of Agriculture,Sweden (via Sida),Adaptation,Agriculture,Sustainable Farming,Ongoing,Improved farming practices among participating farmers.,Null
204,6204,Pakistan,2022,2025,BTR 1,Disaster Risk Reduction Training,2024-2026,National Disaster Management Agency,Switzerland (via SDC),Adaptation,Water,Flood Resilience,Ongoing,Strengthened institutional capacity for disaster response.,Null
205,6205,Brazil,2022,2025,BTR 1,Satellite Forest Monitoring,2025-2028,Ministry of Environment,Norway,Mitigation,Forestry,Forest Monitoring,Planned,Expected to improve forest monitoring systems.,Null
206,6206,Nigeria,2022,2025,BTR 1,Rural Electrification Strategy,2024-2026,Ministry of Power,Japan (via JICA),Mitigation,Energy,Off-grid Solutions,Ongoing,Strategy development is in progress.,Null
207,6207,Colombia,2022,2025,BTR 1,Green Transport Planning,2024-2025,Ministry of Transport,Germany (via GIZ),Mitigation,Transport,Public Transit,Ongoing,New low-carbon transport plan is being drafted.,Null
208,6208,Vietnam,2022,2025,BTR 1,Ecosystem Restoration Management,2025-2028,Ministry of Natural Resources,Finland,Adaptation,Coastal,Mangrove Restoration,Planned,Will support mangrove restoration efforts.,Null
209,6209,Mexico,2022,2025,BTR 1,Municipal Waste Management Training,2026-2029,Ministry of Environment,France (via AFD),Mitigation,Waste,Waste Management,Planned,Will improve urban waste management systems.,Null
210,6210,Indonesia,2022,2025,BTR 1,Geothermal Project Management,2025-2028,Ministry of Energy,Japan (via JICA),Mitigation,Energy,Geothermal,Planned,Aims to accelerate geothermal project deployment.,Null
